priority,year,year_slug,term,week_of_term,week_of_year,word,category,statutory,difficulty_rank,focus,origin_candidate,origin_hint,status,definition,example_sentence,origin,notes
1,2,year2,autumn,2,2,age,rule-example,,1,dge/ge/g/j spellings of /dʒ/,,,done,How many years old someone or something is.,What age is your little sister now?,,
2,2,year2,autumn,2,2,badge,rule-example,,1,dge/ge/g/j spellings of /dʒ/,,,done,A small sign or symbol pinned or sewn onto clothing to show something.,She proudly wore her swimming badge on her cardigan.,,
3,2,year2,autumn,2,2,bridge,rule-example,,1,dge/ge/g/j spellings of /dʒ/,,,done,"A structure built over a river, road or railway so people can cross it.",We walked across the old stone bridge into town.,,
4,2,year2,autumn,2,2,bulge,rule-example,,1,dge/ge/g/j spellings of /dʒ/,,,done,A part that swells or sticks out more than the rest.,His pockets had a bulge from all the conkers he'd collected.,,
5,2,year2,autumn,2,2,change,rule-example,,1,dge/ge/g/j spellings of /dʒ/,,,done,"To make something different, or coins and notes given back after paying.","I'd like to change my socks, they're all wet.",,
6,2,year2,autumn,2,2,charge,rule-example,,1,dge/ge/g/j spellings of /dʒ/,,,done,"To ask a price for something, or to rush forward quickly.",The shop didn't charge extra for gift wrapping.,,
7,2,year2,autumn,2,2,dodge,rule-example,,1,dge/ge/g/j spellings of /dʒ/,,,done,To quickly move out of the way of something.,He had to dodge the puddle on the way to school.,,
8,2,year2,autumn,2,2,edge,rule-example,,1,dge/ge/g/j spellings of /dʒ/,,,done,The outside border or line where something ends.,Don't stand too close to the edge of the cliff.,,
9,2,year2,autumn,2,2,fudge,rule-example,,1,dge/ge/g/j spellings of /dʒ/,,,done,"A soft, sweet, chewy sweet made from sugar and butter.",Grandma made a batch of chocolate fudge for the fete.,,
10,2,year2,autumn,2,2,gem,rule-example,,1,dge/ge/g/j spellings of /dʒ/,,,done,"A precious stone, like a diamond or ruby, that is cut and polished.",The crown was decorated with a sparkling red gem.,,
11,2,year2,autumn,2,2,huge,rule-example,,1,dge/ge/g/j spellings of /dʒ/,,,done,Extremely big in size.,The blue whale is a huge animal.,,
